Dates,Sales
06/04/2020,657.5
06/05/2020,522.5
06/06/2020,1823.75
06/07/2020,2342.25
06/08/2020,378.5
06/09/2020,1037.5
06/10/2020,734
06/11/2020,1054.25
06/12/2020,740.25
06/13/2020,2206
06/14/2020,2965
06/15/2020,330.5
06/16/2020,570.75
06/17/2020,623.25
06/18/2020,558.75
06/19/2020,921
06/20/2020,1398
06/21/2020,2154.25
06/22/2020,492.75
06/23/2020,796.25
06/24/2020,793.25
06/25/2020,766.25
06/26/2020,846.5
06/27/2020,3151.5
06/28/2020,2174.25
06/29/2020,461.75
06/30/2020,1261.75
07/01/2020,969
07/02/2020,1396
07/03/2020,926.25
07/04/2020,1209.5
07/05/2020,1166
07/06/2020,854.75
07/07/2020,1285.25
07/08/2020,1370.5
07/09/2020,1389.25
07/10/2020,1632.5
07/11/2020,3770.5
07/12/2020,3692.75
07/13/2020,1417.5
07/14/2020,1252.25
07/15/2020,1413.25
07/16/2020,1443
07/17/2020,1227.25
07/18/2020,2406.5
07/19/2020,3220.5
07/20/2020,1050.5
07/21/2020,1179.75
07/22/2020,1162
07/23/2020,1053.5
07/24/2020,1146
07/25/2020,2540
07/26/2020,2424
07/27/2020,632
07/28/2020,1058.5
07/29/2020,1437.25
07/30/2020,1082.5
07/31/2020,1942.25
08/01/2020,2759.5
08/02/2020,2530.5
08/03/2020,1247.25
08/04/2020,1331.25
08/05/2020,1350.5
08/06/2020,1085
08/07/2020,1197
08/08/2020,2652.5
08/09/2020,3035.5
08/10/2020,1010.25
08/11/2020,1673.25
08/12/2020,1232.5
08/13/2020,1523
08/14/2020,1534.75
08/15/2020,3019
08/16/2020,3555.5
08/17/2020,1727.25
08/18/2020,1804.5
08/19/2020,1582.25
08/20/2020,1882.75
08/21/2020,1824.25
08/22/2020,3087.5
08/23/2020,3343.75
08/24/2020,1609.5
08/25/2020,2232.5
08/26/2020,1508.75
08/27/2020,1763.75
08/28/2020,1721.25
08/29/2020,2888
08/30/2020,3408.5
08/31/2020,1245.25
09/01/2020,1265
09/02/2020,1122.25
09/03/2020,1194.5
09/04/2020,1709.75
09/05/2020,3106
09/06/2020,3305.5
09/07/2020,3942.5
09/08/2020,832.5
09/09/2020,1038.25
09/10/2020,803.5
09/11/2020,717.75
09/12/2020,1858.5
09/13/2020,2250.5
09/14/2020,725.25
09/15/2020,835.5
09/16/2020,842.5
09/17/2020,568.5
09/18/2020,1265
09/19/2020,3629.25
09/20/2020,4421.25
